league,train_season,test_season,edge_threshold,p_draw_min,p_draw_max,train_bets,train_hit_rate,train_roi_units,train_roi,test_bets,test_hit_rate,test_roi_units,test_roi,positive_both
Bundesliga,2023-24,2025-26,0.0,0.0,0.33,217,0.230415,3.76,0.017327,168,0.220238,-5.5,-0.032738,0
Bundesliga,2023-24,2025-26,0.0,0.0,0.36,218,0.233945,6.1,0.027982,168,0.220238,-5.5,-0.032738,0
Bundesliga,2023-24,2025-26,0.0,0.0,1.0,218,0.233945,6.1,0.027982,168,0.220238,-5.5,-0.032738,0
Bundesliga,2023-24,2025-26,0.0,0.24,0.27,93,0.247312,10.37,0.111505,73,0.219178,-2.26,-0.030959,0
Bundesliga,2023-24,2025-26,0.0,0.24,0.3,164,0.256098,16.87,0.102866,128,0.25,2.0,0.015625,1
Bundesliga,2023-24,2025-26,0.0,0.24,0.33,175,0.262857,20.4,0.116571,134,0.246269,-0.58,-0.004328,0
Bundesliga,2023-24,2025-26,0.0,0.24,0.36,176,0.267045,22.74,0.129205,134,0.246269,-0.58,-0.004328,0
Bundesliga,2023-24,2025-26,0.0,0.24,1.0,176,0.267045,22.74,0.129205,134,0.246269,-0.58,-0.004328,0
Bundesliga,2023-24,2025-26,0.0,0.27,0.3,71,0.267606,6.5,0.091549,55,0.290909,4.26,0.077455,1
Bundesliga,2023-24,2025-26,0.0,0.27,0.33,82,0.280488,10.03,0.122317,61,0.278689,1.68,0.027541,1
Bundesliga,2023-24,2025-26,0.0,0.27,0.36,83,0.289157,12.37,0.149036,61,0.278689,1.68,0.027541,1
Bundesliga,2023-24,2025-26,0.0,0.27,1.0,83,0.289157,12.37,0.149036,61,0.278689,1.68,0.027541,1
Bundesliga,2023-24,2025-26,0.01,0.0,0.27,117,0.188034,-7.36,-0.062906,85,0.188235,-0.48,-0.005647,0
Bundesliga,2023-24,2025-26,0.01,0.0,0.3,176,0.215909,0.42,0.002386,125,0.192,-9.01,-0.07208,0
Bundesliga,2023-24,2025-26,0.01,0.0,0.33,187,0.224599,3.95,0.021123,130,0.192308,-10.59,-0.081462,0
Bundesliga,2023-24,2025-26,0.01,0.0,0.36,188,0.228723,6.29,0.033457,130,0.192308,-10.59,-0.081462,0
Bundesliga,2023-24,2025-26,0.01,0.0,1.0,188,0.228723,6.29,0.033457,130,0.192308,-10.59,-0.081462,0
Bundesliga,2023-24,2025-26,0.01,0.24,0.27,81,0.222222,3.28,0.040494,56,0.214286,-0.56,-0.01,0
Bundesliga,2023-24,2025-26,0.01,0.24,0.3,140,0.242857,11.06,0.079,96,0.208333,-9.09,-0.094687,0
Bundesliga,2023-24,2025-26,0.01,0.24,0.33,151,0.251656,14.59,0.096623,101,0.207921,-10.67,-0.105644,0
Bundesliga,2023-24,2025-26,0.01,0.24,0.36,152,0.256579,16.93,0.111382,101,0.207921,-10.67,-0.105644,0
Bundesliga,2023-24,2025-26,0.01,0.24,1.0,152,0.256579,16.93,0.111382,101,0.207921,-10.67,-0.105644,0
Bundesliga,2023-24,2025-26,0.01,0.27,0.3,59,0.271186,7.78,0.131864,40,0.2,-8.53,-0.21325,0
Bundesliga,2023-24,2025-26,0.01,0.27,0.33,70,0.285714,11.31,0.161571,45,0.2,-10.11,-0.224667,0
Bundesliga,2023-24,2025-26,0.01,0.27,0.36,71,0.295775,13.65,0.192254,45,0.2,-10.11,-0.224667,0
Bundesliga,2023-24,2025-26,0.01,0.27,1.0,71,0.295775,13.65,0.192254,45,0.2,-10.11,-0.224667,0
Bundesliga,2023-24,2025-26,0.02,0.0,0.27,108,0.194444,-2.2,-0.02037,68,0.132353,-11.86,-0.174412,0
Bundesliga,2023-24,2025-26,0.02,0.0,0.3,154,0.214286,3.75,0.024351,94,0.159574,-13.65,-0.145213,0
Bundesliga,2023-24,2025-26,0.02,0.0,0.33,164,0.22561,8.28,0.050488,98,0.153061,-17.65,-0.180102,0
Bundesliga,2023-24,2025-26,0.02,0.0,0.36,165,0.230303,10.62,0.064364,98,0.153061,-17.65,-0.180102,0
Bundesliga,2023-24,2025-26,0.02,0.0,1.0,165,0.230303,10.62,0.064364,98,0.153061,-17.65,-0.180102,0
Bundesliga,2023-24,2025-26,0.02,0.24,0.27,73,0.232877,7.44,0.101918,44,0.136364,-12.42,-0.282273,0
Bundesliga,2023-24,2025-26,0.02,0.24,0.3,119,0.243697,13.39,0.112521,70,0.171429,-14.21,-0.203,0
Bundesliga,2023-24,2025-26,0.02,0.24,0.33,129,0.255814,17.92,0.138915,74,0.162162,-18.21,-0.246081,0
Bundesliga,2023-24,2025-26,0.02,0.24,0.36,130,0.261538,20.26,0.155846,74,0.162162,-18.21,-0.246081,0
Bundesliga,2023-24,2025-26,0.02,0.24,1.0,130,0.261538,20.26,0.155846,74,0.162162,-18.21,-0.246081,0
Bundesliga,2023-24,2025-26,0.02,0.27,0.33,56,0.285714,10.48,0.187143,30,0.2,-5.79,-0.193,0
Bundesliga,2023-24,2025-26,0.02,0.27,0.36,57,0.298246,12.82,0.224912,30,0.2,-5.79,-0.193,0
Bundesliga,2023-24,2025-26,0.02,0.27,1.0,57,0.298246,12.82,0.224912,30,0.2,-5.79,-0.193,0
Bundesliga,2023-24,2025-26,0.03,0.0,0.27,88,0.147727,-17.24,-0.195909,60,0.133333,-8.39,-0.139833,0
Bundesliga,2023-24,2025-26,0.03,0.0,0.3,120,0.183333,-8.75,-0.072917,79,0.151899,-10.66,-0.134937,0
Bundesliga,2023-24,2025-26,0.03,0.0,0.33,128,0.195312,-5.63,-0.043984,83,0.144578,-14.66,-0.176627,0
Bundesliga,2023-24,2025-26,0.03,0.0,0.36,129,0.20155,-3.29,-0.025504,83,0.144578,-14.66,-0.176627,0
Bundesliga,2023-24,2025-26,0.03,0.0,1.0,129,0.20155,-3.29,-0.025504,83,0.144578,-14.66,-0.176627,0
Bundesliga,2023-24,2025-26,0.03,0.24,0.27,57,0.175439,-6.2,-0.108772,37,0.135135,-9.95,-0.268919,0
Bundesliga,2023-24,2025-26,0.03,0.24,0.3,89,0.213483,2.29,0.02573,56,0.160714,-12.22,-0.218214,0
Bundesliga,2023-24,2025-26,0.03,0.24,0.33,97,0.226804,5.41,0.055773,60,0.15,-16.22,-0.270333,0
Bundesliga,2023-24,2025-26,0.03,0.24,0.36,98,0.234694,7.75,0.079082,60,0.15,-16.22,-0.270333,0
Bundesliga,2023-24,2025-26,0.03,0.24,1.0,98,0.234694,7.75,0.079082,60,0.15,-16.22,-0.270333,0
Bundesliga,2023-24,2025-26,0.04,0.0,0.27,76,0.157895,-11.04,-0.145263,54,0.12963,-6.73,-0.12463,0
Bundesliga,2023-24,2025-26,0.04,0.0,0.3,100,0.18,-6.29,-0.0629,67,0.164179,-3.0,-0.044776,0
Bundesliga,2023-24,2025-26,0.04,0.0,0.33,107,0.196262,-2.17,-0.02028,68,0.161765,-4.0,-0.058824,0
Bundesliga,2023-24,2025-26,0.04,0.0,0.36,108,0.203704,0.17,0.001574,68,0.161765,-4.0,-0.058824,0
Bundesliga,2023-24,2025-26,0.04,0.0,1.0,108,0.203704,0.17,0.001574,68,0.161765,-4.0,-0.058824,0
Bundesliga,2023-24,2025-26,0.04,0.24,0.3,72,0.222222,7.55,0.104861,46,0.173913,-6.56,-0.142609,0
Bundesliga,2023-24,2025-26,0.04,0.24,0.33,79,0.240506,11.67,0.147722,47,0.170213,-7.56,-0.160851,0
Bundesliga,2023-24,2025-26,0.04,0.24,0.36,80,0.25,14.01,0.175125,47,0.170213,-7.56,-0.160851,0
Bundesliga,2023-24,2025-26,0.04,0.24,1.0,80,0.25,14.01,0.175125,47,0.170213,-7.56,-0.160851,0
Bundesliga,2023-24,2025-26,0.05,0.0,0.27,61,0.131148,-14.81,-0.242787,41,0.121951,-4.04,-0.098537,0
Bundesliga,2023-24,2025-26,0.05,0.0,0.3,79,0.139241,-16.17,-0.204684,49,0.122449,-7.4,-0.15102,0
Bundesliga,2023-24,2025-26,0.05,0.0,0.33,81,0.148148,-14.15,-0.174691,50,0.12,-8.4,-0.168,0
Bundesliga,2023-24,2025-26,0.05,0.0,0.36,82,0.158537,-11.81,-0.144024,50,0.12,-8.4,-0.168,0
Bundesliga,2023-24,2025-26,0.05,0.0,1.0,82,0.158537,-11.81,-0.144024,50,0.12,-8.4,-0.168,0
Bundesliga,2023-24,2025-26,0.05,0.24,0.3,57,0.157895,-8.33,-0.14614,33,0.151515,-5.65,-0.171212,0
Bundesliga,2023-24,2025-26,0.05,0.24,0.33,59,0.169492,-6.31,-0.106949,34,0.147059,-6.65,-0.195588,0
Bundesliga,2023-24,2025-26,0.05,0.24,0.36,60,0.183333,-3.97,-0.066167,34,0.147059,-6.65,-0.195588,0
Bundesliga,2023-24,2025-26,0.05,0.24,1.0,60,0.183333,-3.97,-0.066167,34,0.147059,-6.65,-0.195588,0
Championship,2023-24,2025-26,0.0,0.0,0.27,68,0.176471,-17.93,-0.263676,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.0,0.0,0.3,277,0.191336,-65.44,-0.236245,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.0,0.0,0.33,403,0.220844,-61.17,-0.151787,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.0,0.0,0.36,419,0.214797,-73.98,-0.176563,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.0,0.0,1.0,420,0.214286,-74.98,-0.178524,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.0,0.24,0.27,64,0.1875,-13.93,-0.217656,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.0,0.24,0.3,273,0.194139,-61.44,-0.225055,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.0,0.24,0.33,399,0.223058,-57.17,-0.143283,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.0,0.24,0.36,415,0.216867,-69.98,-0.168627,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.0,0.24,1.0,416,0.216346,-70.98,-0.170625,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.0,0.27,0.3,209,0.196172,-47.51,-0.227321,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.0,0.27,0.33,335,0.229851,-43.24,-0.129075,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.0,0.27,0.36,351,0.222222,-56.05,-0.159687,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.0,0.27,1.0,352,0.221591,-57.05,-0.162074,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.0,0.3,0.33,126,0.285714,4.27,0.033889,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.0,0.3,0.36,142,0.260563,-8.54,-0.060141,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.0,0.3,1.0,143,0.258741,-9.54,-0.066713,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.01,0.0,0.27,57,0.140351,-22.37,-0.392456,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.01,0.0,0.3,229,0.174672,-64.12,-0.28,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.01,0.0,0.33,345,0.211594,-59.58,-0.172696,0,0.0,0.0,0.0,0
Championship,2023-24,2025-26,0.01,0.0,0.36,361,0.204986,-72.39,-0.200526,0,0.0,0.0,0.0,0
