season,league,edge_bucket,p_draw_bucket,fixtures,pickem_fixtures,classified_fixtures,draws,favorite_wins,underdog_wins,pickem_non_draw_games,draw_rate,favorite_win_pct_of_non_draws,underdog_win_pct_of_non_draws,favorite_win_rate_of_classified_fixtures,underdog_win_rate_of_classified_fixtures,avg_model_draw_probability,avg_market_draw_probability,avg_draw_edge,positive_edge_fixtures,surviving_rule_fixtures,avg_draw_odds,draw_roi_units,draw_roi,favorite_ml_bets,avg_favorite_ml_odds,favorite_ml_roi_units,favorite_ml_roi,underdog_ml_bets,avg_underdog_ml_odds,underdog_ml_roi_units,underdog_ml_roi
2023-24,Primeira Liga,0.01-0.02,0.18-0.21,1,0,1,0,1,0,0,0.0,1.0,0.0,1.0,0.0,0.200359,0.184382,0.015977,1,0,5.25,-1.0,-1.0,1,1.35,0.35,0.35,1,9.82,-1.0,-1.0
2023-24,Primeira Liga,0.01-0.02,0.24-0.27,1,0,1,0,1,0,0,0.0,1.0,0.0,1.0,0.0,0.267982,0.25153,0.016452,1,0,3.87,-1.0,-1.0,1,2.29,1.29,1.29,1,3.01,-1.0,-1.0
2023-24,Primeira Liga,0.01-0.02,0.27-0.30,12,0,12,3,4,5,0,0.25,0.444444,0.555556,0.333333,0.416667,0.289417,0.276112,0.013305,12,0,3.516667,-1.37,-0.114167,12,2.244167,-1.84,-0.153333,12,3.5375,8.76,0.73
2023-24,Primeira Liga,0.01-0.02,0.30-0.33,6,1,5,2,1,2,1,0.333333,0.333333,0.666667,0.2,0.4,0.312416,0.29756,0.014856,6,0,3.246667,0.55,0.091667,5,2.306,-2.76,-0.552,5,3.516,1.38,0.276
2023-24,Primeira Liga,0.01-0.02,>=0.33,2,0,2,0,1,1,0,0.0,0.5,0.5,0.5,0.5,0.340549,0.324084,0.016464,2,0,3.005,-2.0,-1.0,2,2.515,0.59,0.295,2,3.375,1.42,0.71
2023-24,Primeira Liga,0.01-0.02,All,22,1,21,5,8,8,1,0.227273,0.5,0.5,0.380952,0.380952,0.295316,0.281036,0.01428,22,0,3.491364,-4.82,-0.219091,21,2.244286,-2.37,-0.112857,21,3.790952,9.56,0.455238
2023-24,Primeira Liga,0.02-0.03,0.21-0.24,1,0,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.229413,0.207173,0.02224,1,0,4.75,3.75,3.75,1,1.65,-1.0,-1.0,1,5.01,-1.0,-1.0
2023-24,Primeira Liga,0.02-0.03,0.24-0.27,4,0,4,1,2,1,0,0.25,0.666667,0.333333,0.5,0.25,0.263818,0.239388,0.02443,4,0,4.0475,-0.05,-0.0125,4,1.6775,-0.63,-0.1575,4,5.34,1.02,0.255
2023-24,Primeira Liga,0.02-0.03,0.27-0.30,7,0,7,1,5,1,0,0.142857,0.833333,0.166667,0.714286,0.142857,0.279841,0.256968,0.022873,7,0,3.78,-3.13,-0.447143,7,1.905714,2.48,0.354286,7,4.262857,-2.14,-0.305714
2023-24,Primeira Liga,0.02-0.03,0.30-0.33,11,0,11,3,5,3,0,0.272727,0.625,0.375,0.454545,0.272727,0.307126,0.282959,0.024167,11,0,3.434545,-0.81,-0.073636,11,2.163636,-0.94,-0.085455,11,3.86,-1.2,-0.109091
2023-24,Primeira Liga,0.02-0.03,>=0.33,3,0,3,0,2,1,0,0.0,0.666667,0.333333,0.666667,0.333333,0.33542,0.309485,0.025936,3,0,3.126667,-3.0,-1.0,3,2.39,1.65,0.55,3,3.44,0.22,0.073333
2023-24,Primeira Liga,0.02-0.03,All,26,0,26,6,14,6,0,0.230769,0.7,0.3,0.538462,0.230769,0.293393,0.269404,0.023989,26,0,3.636923,-3.24,-0.124615,26,2.025769,1.56,0.06,26,4.191923,-3.1,-0.119231
2023-24,Primeira Liga,0.03-0.05,0.21-0.24,1,0,1,0,1,0,0,0.0,1.0,0.0,1.0,0.0,0.224369,0.189312,0.035058,1,0,5.12,-1.0,-1.0,1,1.4,0.4,0.4,1,8.19,-1.0,-1.0
2023-24,Primeira Liga,0.03-0.05,0.24-0.27,3,0,3,0,3,0,0,0.0,1.0,0.0,1.0,0.0,0.265512,0.223002,0.04251,3,0,4.336667,-3.0,-1.0,3,1.816667,2.45,0.816667,3,4.576667,-3.0,-1.0
2023-24,Primeira Liga,0.03-0.05,0.27-0.30,10,0,10,2,6,2,0,0.2,0.75,0.25,0.6,0.2,0.28315,0.244179,0.038971,10,0,3.97,-1.7,-0.17,10,1.706,0.33,0.033,10,5.256,1.05,0.105
2023-24,Primeira Liga,0.03-0.05,0.30-0.33,5,0,5,2,2,1,0,0.4,0.666667,0.333333,0.4,0.2,0.318725,0.2809,0.037825,5,0,3.456,2.25,0.45,5,2.04,-0.8,-0.16,5,4.238,-0.88,-0.176
2023-24,Primeira Liga,0.03-0.05,>=0.33,2,0,2,1,0,1,0,0.5,0.0,1.0,0.0,0.5,0.340688,0.299372,0.041316,2,0,3.24,1.2,0.6,2,2.255,-2.0,-1.0,2,3.585,1.59,0.795
2023-24,Primeira Liga,0.03-0.05,All,21,0,21,5,12,4,0,0.238095,0.75,0.25,0.571429,0.190476,0.291782,0.252541,0.039241,21,0,3.885238,-2.25,-0.107143,21,1.839048,0.38,0.018095,21,4.897143,-2.24,-0.106667
2023-24,Primeira Liga,<0,0.21-0.24,3,0,3,1,1,1,0,0.333333,0.5,0.5,0.333333,0.333333,0.226982,0.282437,-0.055455,0,0,3.516667,0.34,0.113333,3,2.263333,-1.25,-0.416667,3,3.783333,0.01,0.003333
